id,symbol,name,hashing_algo,market_cap,rank,interest_score,p_change_30d,p_change_60d,p_change_200d,p_change_1y,market_cap_usd,total_supply,circulating_supply,twt_followers,rdt_followers
kusama,ksm,Kusama,,78,470,0.019,-37.25713,-37.19944,-10.63463,-7.59096,1565686432,10000000.0,8980098.074112339,229072,0
huobi-token,ht,Huobi Token,,79,318,0.003,-0.55326,-0.12866,-7.62553,-17.91408,1553573019,500000000.0,155918295.25441208,961115,1737
zcash,zec,Zcash,Equihash,80,19,0.017,-12.46755,-17.47994,11.79619,-21.584,1503860800,21000000.0,12128153.2912968,85080,21830
amp-token,amp,Amp,,81,290,0.026,-24.67438,-35.70369,-57.5648,-12.74674,1500304017,99443416509.3685,48013928909.1577,44496,44108
true-usd,tusd,TrueUSD,,82,113,0.004,-0.03867,0.06032,-0.40769,0.17401,1490273771,1488189301.62064,1488189301.62064,25602,0
celsius-degree-token,cel,Celsius Network,,83,372,0.31,6.64705,-8.43974,-45.19052,-37.85029,1457911491,694421978.6871,423415980.3475,214221,37773
convex-finance,cvx,Convex Finance,,84,186,0.076,-30.5045,-13.76293,665.93207,0.0,1433446781,84331357.8199475,50311237.43241191,37897,0
kadena,kda,Kadena,,85,112,0.076,-7.16997,-25.15326,2372.09894,1916.44493,1393874010,1000000000.0,167816065.8932,157703,0
thorchain,rune,THORChain,,86,110,0.03,-29.39556,-28.74925,-29.31355,14.89281,1341886372,500000000.0,300750084.9386705,141072,9578
humans-ai,heart,Humans.ai,,87,1043,0.015,-12.02971,20.27846,0.0,0.0,1309127902,7800000000.0,0.0,45453,0
juno-network,juno,JUNO,,88,378,0.008,58.21297,284.55052,0.0,0.0,1287043454,73092370.499606,43494254.951186,38454,1877
basic-attention-token,bat,Basic Attention Token,,89,29,0.09,-19.82023,-27.02111,38.52168,58.07499,1269814377,1500000000.0,1495585511.4473505,254992,87696
celo,celo,Celo,,90,92,0.069,-38.06279,-19.08156,13.61179,-24.0512,1265091720,1000000000.0,407486151.0,140988,0
curve-dao-token,crv,Curve DAO Token,,91,99,0.241,-38.69576,-26.38051,85.16528,16.40068,1240693951,1690756056.70972,391958099.3931446,269288,0
loopring,lrc,Loopring,,92,23,0.044,-28.0427,-52.43997,295.00001,36.56395,1223855324,1373873440.44246,1245991468.94246,183583,96798
nexo,nexo,NEXO,,93,214,0.483,-8.75872,-4.2301,15.29152,27.99503,1200982043,1000000000.0,560000010.0064,180411,28996
chiliz,chz,Chiliz,,94,426,0.036,-18.40466,-17.93309,-17.02408,541.10153,1178795502,8888888888.0,5344064580.0,431473,0
dash,dash,Dash,X11,95,34,0.032,-21.60526,-15.9866,-34.83172,-57.86175,1144242477,18920000.0,10581079.9780581,424933,44171
oasis-network,rose,Oasis Network,Proof of Stake,96,225,0.087,-39.59046,23.93073,306.52067,219.25587,1101803382,10000000000.0,3490000000.0,138092,8154
secret,scrt,Secret,,97,109,0.042,-24.86245,73.8549,532.75481,194.12872,1093429921,190198234.0,163486619.0,148205,0
havven,snx,Synthetix Network Token,,98,38,0.044,-5.99802,0.98483,-47.25438,-79.32838,1071806195,242519074.690449,211209308.24646512,188114,8752
waves,waves,Waves,Proof of Stake,99,31,0.017,-25.75737,-40.18632,-34.62169,-1.89929,1066885313,100000000.0,100000000.0,210248,60139
nem,xem,NEM,Proof of Importance,100,69,0.003,-3.32249,-9.18741,-33.02975,-69.55319,1042124127,8999999999.0,8999999999.0,376065,0
