id,symbol,name,hashing_algo,market_cap,rank,interest_score,p_change_30d,p_change_60d,p_change_200d,p_change_1y,market_cap_usd,total_supply,circulating_supply,twt_followers,rdt_followers
siacoin,sc,Siacoin,Blake2b,153,90,0.028,-22.73105,-28.69856,-21.7779,-7.23488,549859306,,50176515000.0,147208,51047
ergo,erg,Ergo,,329,91,0.018,-17.31985,-33.95267,-36.27475,80.49326,174937420,97739924.0,50667339.0,53107,19576
celo,celo,Celo,,90,92,0.069,-37.96468,-18.95339,13.79174,-23.9309,1261906044,1000000000.0,407486151.0,140988,0
band-protocol,band,Band Protocol,,299,93,0.009,-19.9005,-8.89683,-27.4533,-72.03359,190088623,100000000.0,41591943.0,123517,6490
orchid-protocol,oxt,Orchid Protocol,,343,94,0.013,-15.05785,-22.75794,-4.9313,-55.0157,162562144,1000000000.0,591544728.9516798,81535,5032
yearn-finance,yfi,yearn.finance,,113,95,0.104,-28.6532,-27.686,-23.33656,-40.36078,857247770,36666.0,35692.624968711796,183139,8421
kava,kava,Kava,,146,96,0.048,-32.98598,4.14954,-29.72414,-17.65487,566208103,160604852.0,153153647.0,149907,0
digibyte,dgb,DigiByte,Multiple Algorithms,190,97,0.017,-16.90261,-28.60534,-45.50756,-68.60298,373141588,21000000000.0,15099121724.7827,239216,44686
renbtc,renbtc,renBTC,,122,98,0.029,2.71951,-4.2794,7.5164,-7.45746,718940488,16266.31571139,16266.31571139,114135,6563
curve-dao-token,crv,Curve DAO Token,,91,99,0.241,-38.72872,-26.4201,85.06573,16.33809,1235894709,1690724757.04987,391958099.3931446,269288,0
zelcash,flux,Flux,Equihash,185,100,0.085,-35.14212,7.41783,1553.44117,3238.50379,388370325,440000000.0,226680567.249574,72399,4639
